NAME,TYPE,LOCATION
"KIB2-W10DEV-5","Virtual machine","South Central US"
"kib2-w10dev-5","SQL virtual machine","South Central US"
"KIB2-W10DEV-5-nic","Network Interface","South Central US"
"KIB2-W10DEV-5_disk1_b44981250bde4dd481a6598ff1626002","Disk","South Central US"
"KIB2-W10DEV-7","Virtual machine","South Central US"
"KIB2-W10DEV-7-nic","Network Interface","South Central US"
"KIB2-W10DEV-7_disk1_48160eef7e734351a02eeb5afff456e4","Disk","South Central US"
"KIB2-W10DEV-9","Virtual machine","South Central US"
"KIB2-W10DEV-9_1-nic","Network Interface","South Central US"
"KIB2-W10DEV-9_OsDisk_1_f55c03c66f8a4a8e8010b5d26e710d4c","Disk","South Central US"
"KIC1-SEC01-datadisk-01-test","Disk","South Central US"
"KIC1-SEC01-OSdisk-00-test","Disk","South Central US"
"KIC1-SEC01-test","Virtual machine","South Central US"
"microsoft-avdi-southcentralus","Data collection rule","South Central US"
"migrateffe5clsa87353","Storage account","South Central US"
"mr8-dev-bot-scus-WVD-nsg","Network security group","South Central US"
"mr8-dev-MigrateVault-1753760072","Recovery Services vault","South Central US"
"mr8-dev-scus-dmz-nsg","Network security group","South Central US"
"mr8-dev-scus-internal-nsg","Network security group","South Central US"
"mr8-dev-scus-vnet","Virtual network","South Central US"
"mr8-dev-scus-wvd-nsg","Network security group","South Central US"
"mr8-dev4993replicationvault","Data replication vault","Central US"
"mr8-dev5187kv","Key vault","Central US"
"MR8WVD-Dev-Automation-Bot-02","Host pool","South Central US"
"MR8WVD-Dev-Automation-Bot-02-DAG","Application group","South Central US"
"MR8WVD-Dev-Automation-Controller","Host pool","South Central US"
"MR8WVD-Dev-Automation-Controller-02","Host pool","South Central US"
"MR8WVD-Dev-Automation-Controller-02-DAG","Application group","South Central US"
"MR8WVD-Dev-Automation-Controller-DAG","Application group","South Central US"
"MR8WVD-Dev-DevlopersPool01","Host pool","South Central US"
"MR8WVD-Dev-DevlopersPool01-DAG","Application group","South Central US"
"nic-BUILDCONTROLLER-00-test","Network Interface","South Central US"
"nic-DEV-MR8-00-test","Network Interface","South Central US"
"nic-DEV-MRFILE-00-test","Network Interface","South Central US"
"nic-DEV-WEB-2012r2-00-test","Network Interface","South Central US"
"nic-DOCKERBUILD-00-test","Network Interface","South Central US"
"nic-DVKIC1-PM01-00-test","Network Interface","South Central US"
"nic-DVKIC1-SQL03-00-test","Network Interface","South Central US"
"nic-KEAIS-DEV-00-test","Network Interface","South Central US"
"nic-KEAIS-SHIP-00-test","Network Interface","South Central US"
"nic-KEAIS-WINWEB-00-test","Network Interface","South Central US"
"nic-KIC1-SEC01-00-test","Network Interface","South Central US"
"nic-QA-MRFILE-00-test","Network Interface","South Central US"
"nic-SCA1-IISDEV-00-test","Network Interface","South Central US"
"nic-WGKIB1-WEB02-00-test","Network Interface","South Central US"
"Ont-Dev1-Devlopment-WVD","Workspace","South Central US"
"ontdevnsgflowlogs","Storage account","South Central US"
"privatelink.file.core.windows.net","Private DNS zone","Global"
"QA-MRFILE-datadisk-01-test","Disk","South Central US"
"QA-MRFILE-datadisk-02-test","Disk","South Central US"
"QA-MRFILE-OSdisk-00-test","Disk","South Central US"
"QA-MRFILE-test","Virtual machine","South Central US"
"QAKIB2-OPG01","Virtual machine","South Central US"
"qakib2-opg01829","Network Interface","South Central US"
"QAKIB2-OPG01_OsDisk_1_2ee33f23ad8f46a3b8950669b134e049","Disk","South Central US"
"SCA1-IISDEV-OSdisk-00-test","Disk","South Central US"
"SCA1-IISDEV-test","Virtual machine","South Central US"
"temp-dev-vnet-01","Virtual network","South Central US"
"temp-dev-vnet-01-NSG","Network security group","South Central US"
"WGINB2-GHUNT01","Virtual machine","South Central US"
"wginb2-ghunt01129_z1","Network Interface","South Central US"
"WGINB2-GHUNT01_OsDisk_1_a8a2f72f2dff469f89e81c1f8b40af62","Disk","South Central US"
"WGINB2-GHUNT01_OsDisk_1_a8a2f72f2dff469f89e81c1f8b40af62-SS","Snapshot","South Central US"
"WGKIB1-WEB02-OSdisk-00-test","Disk","South Central US"
"WGKIB1-WEB02-test","Virtual machine","South Central US"
